,index,파일번호,왼쪽 광대뼈 수직 비율,오른쪽 광대뼈 수직 비율,왼쪽 눈썹 수직 비율,오른쪽 눈썹 수직 비율,왼쪽눈 수직 비율,오른쪽눈 수직 비율,입 수직 비율,입 수평 비율,왼눈 수평 비율,오른눈 수평 비율,왼눈 오른쪽 각도,왼눈 왼쪽 각도,오른눈 오른쪽 각도,오른눈 왼쪽 각도,입술 왼쪽 각도,입술 오른쪽 각도
0,2,11,0.5525963952336611,0.5685298564680425,0.1352646663709864,0.1255672393377588,0.07943014707895378,0.05506487711171321,0.12312365914686982,0.4490408292410459,0.1979898987322333,0.22803508501982758,37.874983651098205,60.25511870305775,32.471192290848506,26.565051177077976,27.64597536373867,7.815293546766895
1,3,12,0.5938766593768164,0.579060940402905,0.1748209003187664,0.17052893799693358,0.07818228340009527,0.07703712157713453,0.15967841215554487,0.3517387333217247,0.20405773099713892,0.23097766807419187,35.8376529542783,47.72631099390628,45.0,30.96375653207349,27.64597536373867,11.30993247402023
2,5,18,0.5678832181716316,0.5745925243984837,0.16001730010276993,0.13303802104754786,0.0831890330807703,0.0583410316162446,0.09730085108210398,0.4186379485411743,0.22950867117794718,0.1992693298083502,37.874983651098205,47.72631099390628,45.0,25.34617594194674,29.475889003245754,9.462322208025626
3,7,25,0.5967599592630121,0.5744120808084386,0.15971914124998496,0.13137306896290032,0.06388765649999399,0.0450605909059333,0.08315307499260635,0.39432978400354035,0.20151708874395136,0.21374114996372895,26.565051177077976,45.0,26.565051177077976,18.434948822922024,26.565051177077976,0.0
4,8,26,0.5519240922465631,0.5474322195269042,0.14268924018264223,0.12608826746517235,0.06257337118550658,0.05638838744346009,0.08261923847720276,0.4624638714212627,0.21213203435596428,0.2,30.963756532073518,45.0,45.0,26.565051177077976,30.256437163529256,0.0
5,9,34,0.5432144762551112,0.5423261445466405,0.1305725098474746,0.13413828530578092,0.057259833431386825,0.05882352941176471,0.12421862606837406,0.3410441034867129,0.18524673785899567,0.18668836845633976,25.34617594194671,32.471192290848535,32.471192290848506,26.565051177077976,20.55604521958344,9.462322208025626
6,11,39,0.59385692134627,0.6015779918005465,0.15595446794207107,0.10886000811760735,0.06839055837767723,0.06038466786391684,0.09712858623572641,0.35953900022518676,0.22393000697348198,0.19639960837957135,30.963756532073518,37.874983651098205,45.0,26.565051177077976,34.695153531233984,0.0
7,12,42,0.5565710285051763,0.5338480072359176,0.16439898730535726,0.142044164845687,0.07209372509105905,0.07940510210053552,0.12878418324335694,0.38095238095238093,0.25322871749116127,0.16652217884872533,33.69006752597977,45.0,71.56505117707798,45.0,20.55604521958344,26.565051177077976
8,13,47,0.602975839705963,0.6003934901964127,0.1516431649357186,0.13425206573275322,0.07883552750988976,0.07478994824163422,0.11363636363636363,0.40625,0.211441314134239,0.211441314134239,30.963756532073518,63.434948822922024,52.125016348901795,30.96375653207349,28.300755766006375,0.0
9,14,49,0.5585038992742908,0.5634907108548892,0.12115650656307654,0.09838974596144753,0.06057825328153827,0.06957205656856127,0.08753762190648172,0.4282983661489498,0.22568905807670636,0.16439898730535726,28.072486935852936,36.86989764584405,71.56505117707798,33.69006752597977,23.198590513648185,0.0
10,15,50,0.554911550851388,0.5465279594471963,0.14077312659286823,0.18077538151554684,0.03904344047215152,0.057166195047502956,0.12403473458920845,0.35691530512412484,0.16371964974107478,0.22475645467377744,14.036243467926454,26.565051177077976,32.471192290848506,32.47119229084848,37.56859202882748,9.462322208025626
11,16,51,0.6115995863749861,0.6098938393344915,0.17706312815307243,0.1377219446414666,0.07352146220938077,0.06492274731611955,0.0926482109224159,0.35691530512412484,0.2157267368028895,0.21307968272885022,26.565051177078004,63.434948822922024,45.0,26.565051177077976,34.2157021324374,0.0
12,17,53,0.5453824335365342,0.5342720242325781,0.17073170731707318,0.1749453381214215,0.05453824335365341,0.07068859138436033,0.14142135623730948,0.3712770606854009,0.18124985839860344,0.2050608063404064,25.34617594194671,33.69006752597977,40.60129464500446,23.498565675952136,24.44395478041656,8.972626614896399
13,18,56,0.559736295973419,0.5587602701389629,0.20716769761626044,0.18432613728176422,0.0926482109224159,0.06775963568181181,0.11094003924504582,0.44040738475518304,0.23281653683320877,0.2023096723832625,35.8376529542783,63.434948822922024,45.0,33.69006752597977,18.434948822922024,18.434948822922024
14,19,59,0.5706460747916867,0.5721252724074749,0.1892829244219008,0.19179881852291683,0.08464989719746506,0.08664587415167273,0.1566391043723362,0.3499598692884079,0.20370021093167762,0.20972220313935896,33.111341960372044,71.56505117707798,63.434948822922024,36.86989764584405,32.905242922987895,10.491477012331586
15,21,64,0.6102437074730148,0.5912941001492296,0.1775636558361102,0.17413150828674812,0.07317073170731707,0.07866459694094409,0.08978002784864672,0.3353094577139637,0.24762306829443792,0.2003025720338136,27.89727103094765,52.125016348901795,63.434948822922024,36.86989764584405,25.346175941946683,12.528807709151522
16,23,66,0.5721805656222962,0.5708263279047432,0.1992693298083502,0.20579336121324915,0.09002070714423868,0.09296796411080281,0.13493814503750112,0.37997197031472213,0.2055270768301462,0.2055270768301462,37.874983651098205,60.25511870305775,60.25511870305775,37.874983651098205,23.962488974578207,14.036243467926482
17,24,68,0.5733507634614846,0.5824929219564711,0.15384615384615385,0.18550353712241643,0.08108404256841999,0.08295970381447579,0.11624763874381927,0.3429971702850177,0.19156525704423027,0.2090762970861068,30.963756532073518,63.434948822922024,45.0,31.26373169437744,27.64597536373867,9.462322208025626
18,25,71,0.5759403763178709,0.5899804429613943,0.1874085142663273,0.15811388300841897,0.09877295966495897,0.062017367294604234,0.08557468580776942,0.32156615482569384,0.19677949192289507,0.18925645512987202,45.0,63.434948822922024,53.13010235415595,26.565051177077976,34.695153531233984,11.30993247402023
